Process_ID,Stream_Site,Watershed
DHSSI367-23,Shady Creek,South Yuba
DHSSI369-23,Shady Creek,South Yuba
DHSSI002-23,Goodyears Creek,North Yuba
DHSSI117-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI201-23,Goodyears Creek,North Yuba
DHSSI052-23,Poorman Creek,South Yuba
DHSSI210-23,Lower Yuba,Yuba
DHSSI007-23,Goodyears Creek,North Yuba
DHSSI057-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI122-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI315-23,Fall Creek,South Yuba
DHSSI344-23,Poorman Creek,South Yuba
DHSSI132-23,Rattlesnake,South Yuba
DHSSI160-23,Fall Creek,South Yuba
DHSSI314-23,Fall Creek,South Yuba
DHSSI360-23,Fall Creek,South Yuba
DHSSI251-23,S.Fk.Yuba Purdon,South Yuba
DHSSI327-23,Fall Creek,South Yuba
DHSSI300-23,Haypress Creek,North Yuba
DHSSI028-23,Goodyears Creek,North Yuba
DHSSI041-23,Poorman Creek,South Yuba
DHSSI058-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI070-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI098-23,Poorman Creek,South Yuba
DHSSI171-23,Haypress Creek,North Yuba
DHSSI209-23,Lower Yuba,Yuba
DHSSI219-23,Deer Creek 10,South Yuba
DHSSI249-23,S.Fk.Yuba Purdon,South Yuba
DHSSI275-23,Rock Creek,South Yuba
DHSSI292-23,Rush Creek,South Yuba
DHSSI342-23,Poorman Creek,South Yuba
DHSSI362-23,Fall Creek,South Yuba
DHSSI083-23,Rattlesnake,South Yuba
DHSSI235-23,Deer Creek 2,South Yuba
DHSSI246-23,Shady Creek,South Yuba
DHSSI060-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI236-23,Deer Creek 2,South Yuba
DHSSI273-23,Rock Creek,South Yuba
DHSSI319-23,Fall Creek,South Yuba
DHSSI321-23,Fall Creek,South Yuba
DHSSI361-23,Fall Creek,South Yuba
DHSSI044-23,Poorman Creek,South Yuba
DHSSI112-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI121-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI274-23,Rock Creek,South Yuba
DHSSI324-23,Fall Creek,South Yuba
DHSSI340-23,Poorman Creek,South Yuba
DHSSI341-23,Poorman Creek,South Yuba
DHSSI030-23,Bear River 1,Bear
DHSSI172-23,Haypress Creek,North Yuba
DHSSI326-23,Fall Creek,South Yuba
DHSSI133-23,Rattlesnake,South Yuba
DHSSI231-23,Deer Creek 2,South Yuba
DHSSI286-23,Fall Creek,South Yuba
DHSSI366-23,Fall Creek,South Yuba
DHSSI157-23,Fall Creek,South Yuba
DHSSI325-23,Fall Creek,South Yuba
DHSSI027-23,Goodyears Creek,North Yuba
DHSSI072-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI084-23,Rattlesnake,South Yuba
DHSSI109-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI110-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI141-23,Rattlesnake,South Yuba
DHSSI196-23,Goodyears Creek,North Yuba
DHSSI197-23,Goodyears Creek,North Yuba
DHSSI250-23,S.Fk.Yuba Purdon,South Yuba
DHSSI322-23,Fall Creek,South Yuba
DHSSI338-23,Poorman Creek,South Yuba
DHSSI358-23,Fall Creek,South Yuba
DHSSI230-23,Deer Creek 2,South Yuba
DHSSI016-23,Goodyears Creek,North Yuba
DHSSI094-23,Goodyears Creek,North Yuba
DHSSI272-23,Rock Creek,South Yuba
DHSSI285-23,Fall Creek,South Yuba
DHSSI317-23,Fall Creek,South Yuba
DHSSI042-23,Poorman Creek,South Yuba
DHSSI092-23,Rattlesnake,South Yuba
DHSSI111-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI164-23,Rush Creek,South Yuba
DHSSI316-23,Fall Creek,South Yuba
DHSSI359-23,Fall Creek,South Yuba
DHSSI040-23,Poorman Creek,South Yuba
DHSSI045-23,Poorman Creek,South Yuba
DHSSI318-23,Fall Creek,South Yuba
DHSSI071-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI097-23,Poorman Creek,South Yuba
DHSSI323-23,Fall Creek,South Yuba
DHSSI343-23,Poorman Creek,South Yuba
DHSSI143-23,Goodyears Creek,North Yuba
DHSSI159-23,Fall Creek,South Yuba
DHSSI170-23,Haypress Creek,North Yuba
DHSSI363-23,Fall Creek,South Yuba
DHSSI006-23,Goodyears Creek,North Yuba
DHSSI142-23,Goodyears Creek,North Yuba
DHSSI298-23,Haypress Creek,North Yuba
DHSSI017-23,Deer Creek 10,South Yuba
DHSSI043-23,Poorman Creek,South Yuba
DHSSI232-23,Deer Creek 2,South Yuba
DHSSI345-23,Poorman Creek,South Yuba
DHSSI015-23,Deer Creek 10,South Yuba
DHSSI033-23,Goodyears Creek,North Yuba
DHSSI046-23,Poorman Creek,South Yuba
DHSSI073-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI113-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI252-23,S.Fk.Yuba Purdon,South Yuba
DHSSI138-23,Rattlesnake,South Yuba
DHSSI047-23,Poorman Creek,South Yuba
DHSSI277-23,Rock Creek,South Yuba
DHSSI279-23,Rock Creek,South Yuba
DHSSI175-23,Haypress Creek,North Yuba
DHSSI336-23,Fall Creek,South Yuba
DHSSI019-23,Deer Creek 10,South Yuba
DHSSI018-23,Goodyears Creek,North Yuba
DHSSI082-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI095-23,Goodyears Creek,North Yuba
DHSSI284-23,Rock Creek,South Yuba
DHSSI061-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI123-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI302-23,Haypress Creek,North Yuba
DHSSI320-23,Fall Creek,South Yuba
DHSSI276-23,Rock Creek,South Yuba
DHSSI173-23,Haypress Creek,North Yuba
DHSSI029-23,Pauley Creek,North Yuba
DHSSI099-23,Poorman Creek,South Yuba
DHSSI090-23,Rattlesnake,South Yuba
DHSSI158-23,Fall Creek,South Yuba
DHSSI310-23,Haypress Creek,North Yuba
DHSSI035-23,Rattlesnake,South Yuba
DHSSI134-23,Rattlesnake,South Yuba
DHSSI161-23,Fall Creek,South Yuba
DHSSI085-23,Rattlesnake,South Yuba
DHSSI114-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI144-23,Goodyears Creek,North Yuba
DHSSI278-23,Rock Creek,South Yuba
DHSSI335-23,Fall Creek,South Yuba
DHSSI165-23,Rush Creek,South Yuba
DHSSI174-23,Haypress Creek,North Yuba
DHSSI334-23,Fall Creek,South Yuba
DHSSI304-23,Haypress Creek,North Yuba
DHSSI332-23,Fall Creek,South Yuba
DHSSI149-23,Goodyears Creek,North Yuba
DHSSI328-23,Fall Creek,South Yuba
DHSSI303-23,Haypress Creek,North Yuba
DHSSI295-23,Rush Creek,South Yuba
DHSSI074-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI075-23,S Fk Yuba Golden Quartz,South Yuba
DHSSI101-23,Poorman Creek,South Yuba
DHSSI256-23,S.Fk.Yuba Purdon,South Yuba
DHSSI222-23,Deer Creek 10,South Yuba
DHSSI253-23,S.Fk.Yuba Purdon,South Yuba
DHSSI020-23,Goodyears Creek,North Yuba
DHSSI346-23,Poorman Creek,South Yuba
DHSSI036-23,Goodyears Creek,North Yuba
DHSSI145-23,Goodyears Creek,North Yuba
DHSSI176-23,Haypress Creek,North Yuba
DHSSI180-23,Haypress Creek,North Yuba
DHSSI004-23,Bear River 1,Bear
DHSSI115-23,"Oregon Creek, above Ridge Rd",Middle Yuba
DHSSI181-23,Haypress Creek,North Yuba
DHSSI254-23,S.Fk.Yuba Purdon,South Yuba
DHSSI178-23,Haypress Creek,North Yuba
DHSSI195-23,Goodyears Creek,North Yuba
DHSSI241-23,Shady Creek,South Yuba
