Process_ID,Sample_ID,Watershed,Current_ID,Percent_Match,Match_Genus,Match_Species
DHSSI475-24,SSI-Yuba-44350-H7,Yuba,Clitellata,82.02,Limnodrilus,Limnodrilus hoffmeisteri
DHSSI432-24,SSI-Yuba-44350-D12,Yuba,Matriella teresa,83.24,Ephemerella,Ephemerella dorothea
DHSSI419-24,SSI-Yuba-44350-C11,Yuba,Matriella teresa,83.43,Ephemerella,Ephemerella dorothea
DHSSI431-24,SSI-Yuba-44350-D11,Yuba,Matriella teresa,83.43,Ephemerella,Ephemerella dorothea
DHSSI427-24,SSI-Yuba-44350-D7,Yuba,Cinygma,84.71,Cinygma,Cinygma sp. RN1
DHSSI422-24,SSI-Yuba-44350-D2,Yuba,Cinygma,85.32,Cinygma,Cinygma sp. RN1
DHSSI420-24,SSI-Yuba-44350-C12,Yuba,Torrenticola,86.09,Torrenticola,Torrenticola amplexa
DHSSI457-24,SSI-Yuba-44350-G1,Yuba,Torrenticola,86.09,Torrenticola,Torrenticola lundbladi
DHSSI387-24,SSI-Yuba-44350-A3,Yuba,Mideopsis,87.24,Mideopsis,Mideopsis sp0994B
DHSSI461-24,SSI-Yuba-44350-G5,Yuba,Stempellinella,87.25,Stempellinella,Stempellinella tamaseptima
DHSSI472-24,SSI-Yuba-44350-H4,Yuba,Stempellinella,87.25,Stempellinella,Stempellinella tamaseptima
DHSSI400-24,SSI-Yuba-44350-B4,Yuba,Thienemannimyia,87.61,Thienemannimyia,Thienemannimyia tripunctata
DHSSI385-24,SSI-Yuba-44350-A1,Yuba,Polypedilum aviceps,88.17,Polypedilum,Polypedilum jianfengense
DHSSI394-24,SSI-Yuba-44350-A10,Yuba,Estelloxus,88.29,Lebertia,Lebertia crenophila
DHSSI463-24,SSI-Yuba-44350-G7,Yuba,Tanytarsus,88.46,Micropsectra,Micropsectra sp. 3ES
DHSSI401-24,SSI-Yuba-44350-B5,Yuba,Parorthocladius,88.95,Alotanypus,Alotanypus venustus
DHSSI390-24,SSI-Yuba-44350-A6,Yuba,Trissopelopia,89.25,Ablabesmyia,Ablabesmyia sp. 20XL
DHSSI399-24,SSI-Yuba-44350-B3,Yuba,Polypedilum scalaenum,89.25,Polypedilum,Polypedilum sp. 13SC
DHSSI469-24,SSI-Yuba-44350-H1,Yuba,Cricotopus,89.6,Orthocladius,Orthocladius filamentosus
DHSSI403-24,SSI-Yuba-44350-B7,Yuba,Ablabesmyia,89.74,Pentaneura,Pentaneura sp. CH16Frias3
DHSSI462-24,SSI-Yuba-44350-G6,Yuba,Limnophyes,89.76,Limnophyes,Limnophyes margaretae
DHSSI471-24,SSI-Yuba-44350-H3,Yuba,Lebertia,89.92,Lebertia,Lebertia salebrosa
