Sample_ID,Stream_Site,associated voucher specimen?
SSI-Yuba-44346-A1,Rattlesnake,
SSI-Yuba-44346-A2,Goodyears,
SSI-Yuba-44346-A3,Goodyears,
SSI-Yuba-44346-A4,Deer 10,
SSI-Yuba-44346-A5,Bear 1,
SSI-Yuba-44346-A6,Goodyears,
SSI-Yuba-44346-A7,Goodyears,
SSI-Yuba-44346-A8,Deer 10,
SSI-Yuba-44346-A9,Deer 10,
SSI-Yuba-44346-A10,Goodyears,
SSI-Yuba-44346-A11,Deer 10,
SSI-Yuba-44346-A12,Deer 10,
SSI-Yuba-44346-B1,Goodyears,
SSI-Yuba-44346-B2,Goodyears,
SSI-Yuba-44346-B3,Deer 10,
SSI-Yuba-44346-B4,Goodyears,
SSI-Yuba-44346-B5,Deer 10,
SSI-Yuba-44346-B6,Goodyears,
SSI-Yuba-44346-B7,Deer 10,
SSI-Yuba-44346-B8,Goodyears,
SSI-Yuba-44346-B9,Goodyears,
SSI-Yuba-44346-B10,Oregon-Ridge,
SSI-Yuba-44346-B11,Goodyears,
SSI-Yuba-44346-B12,Deer 10,
SSI-Yuba-44346-C1,Pauley,
SSI-Yuba-44346-C2,Bear 1,
SSI-Yuba-44346-C3,Goodyears,
SSI-Yuba-44346-C4,Goodyears,
SSI-Yuba-44346-C5,Pauley,
SSI-Yuba-44346-C6,Bear 1,
SSI-Yuba-44346-C7,Oregon-Ridge,
SSI-Yuba-44346-C8,Deer 10,
SSI-Yuba-44346-C9,Goodyears,
SSI-Yuba-44346-C10,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-C11,Rattlesnake,
SSI-Yuba-44346-C12,Goodyears,
SSI-Yuba-44346-D1,Goodyears,
SSI-Yuba-44346-D2,Bear 1,
SSI-Yuba-44346-D3,Deer 10,
SSI-Yuba-44346-D4,Poorman,
SSI-Yuba-44346-D5,Poorman,
SSI-Yuba-44346-D6,Poorman,
SSI-Yuba-44346-D7,Poorman,
SSI-Yuba-44346-D8,Poorman,
SSI-Yuba-44346-D9,Poorman,
SSI-Yuba-44346-D10,Poorman,
SSI-Yuba-44346-D11,Poorman,
SSI-Yuba-44346-D12,Poorman,
SSI-Yuba-44346-E1,Poorman,
SSI-Yuba-44346-E2,Poorman,
SSI-Yuba-44346-E3,Poorman,
SSI-Yuba-44346-E4,Poorman,
SSI-Yuba-44346-E5,Poorman,
SSI-Yuba-44346-E6,Poorman,
SSI-Yuba-44346-E7,Poorman,
SSI-Yuba-44346-E8,Poorman,
SSI-Yuba-44346-E9,Oregon-Ridge,
SSI-Yuba-44346-E10,Oregon-Ridge,
SSI-Yuba-44346-E11,Oregon-Ridge,
SSI-Yuba-44346-E12,Oregon-Ridge,
SSI-Yuba-44346-F1,Oregon-Ridge,
SSI-Yuba-44346-F2,Oregon-Ridge,
SSI-Yuba-44346-F3,Oregon-Ridge,
SSI-Yuba-44346-F4,Oregon-Ridge,
SSI-Yuba-44346-F5,Oregon-Ridge,
SSI-Yuba-44346-F6,Oregon-Ridge,
SSI-Yuba-44346-F7,Oregon-Ridge,
SSI-Yuba-44346-F8,Oregon-Ridge,
SSI-Yuba-44346-F9,Oregon-Ridge,
SSI-Yuba-44346-F10,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-F11,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-F12,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-G1,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-G2,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-G3,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-G4,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-G5,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-G6,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-G7,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-G8,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-G9,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-G10,South Fork Yuba-Golden quartz,
SSI-Yuba-44346-G11,Rattlesnake,
SSI-Yuba-44346-G12,Rattlesnake,
SSI-Yuba-44346-H1,Rattlesnake,
SSI-Yuba-44346-H2,Rattlesnake,
SSI-Yuba-44346-H3,Rattlesnake,
SSI-Yuba-44346-H4,Rattlesnake,
SSI-Yuba-44346-H5,Rattlesnake,
SSI-Yuba-44346-H6,Rattlesnake,
SSI-Yuba-44346-H7,Rattlesnake,
SSI-Yuba-44346-H8,Rattlesnake,
SSI-Yuba-44346-H9,Rattlesnake,
SSI-Yuba-44346-H10,Goodyears,
SSI-Yuba-44346-H11,Goodyears,
SSI-Yuba-44347-A1,Poorman,
SSI-Yuba-44347-A2,Poorman,
SSI-Yuba-44347-A3,Poorman,
SSI-Yuba-44347-A4,Poorman,
SSI-Yuba-44347-A5,Poorman,
SSI-Yuba-44347-A6,Poorman,
SSI-Yuba-44347-A7,Poorman,
SSI-Yuba-44347-A8,Poorman,
SSI-Yuba-44347-A9,Poorman,
SSI-Yuba-44347-A10,Poorman,
SSI-Yuba-44347-A11,Poorman,
SSI-Yuba-44347-A12,Poorman,
SSI-Yuba-44347-B1,Oregon-Ridge,
SSI-Yuba-44347-B2,Oregon-Ridge,
SSI-Yuba-44347-B3,Oregon-Ridge,
SSI-Yuba-44347-B4,Oregon-Ridge,
SSI-Yuba-44347-B5,Oregon-Ridge,
SSI-Yuba-44347-B6,Oregon-Ridge,
SSI-Yuba-44347-B7,Oregon-Ridge,
SSI-Yuba-44347-B8,Oregon-Ridge,
SSI-Yuba-44347-B9,Oregon-Ridge,
SSI-Yuba-44347-B10,Oregon-Ridge,
SSI-Yuba-44347-B11,Oregon-Ridge,
SSI-Yuba-44347-B12,Oregon-Ridge,
SSI-Yuba-44347-C1,South Fork Yuba-Golden quartz,
SSI-Yuba-44347-C2,South Fork Yuba-Golden quartz,
SSI-Yuba-44347-C3,South Fork Yuba-Golden quartz,
SSI-Yuba-44347-C4,South Fork Yuba-Golden quartz,
SSI-Yuba-44347-C5,South Fork Yuba-Golden quartz,
SSI-Yuba-44347-C6,South Fork Yuba-Golden quartz,
SSI-Yuba-44347-C7,South Fork Yuba-Golden quartz,
SSI-Yuba-44347-C8,South Fork Yuba-Golden quartz,
SSI-Yuba-44347-C9,South Fork Yuba-Golden quartz,
SSI-Yuba-44347-C10,South Fork Yuba-Golden quartz,
SSI-Yuba-44347-C11,South Fork Yuba-Golden quartz,
SSI-Yuba-44347-C12,Rattlesnake,
SSI-Yuba-44347-D1,Rattlesnake,
SSI-Yuba-44347-D2,Rattlesnake,
SSI-Yuba-44347-D3,Rattlesnake,
SSI-Yuba-44347-D4,Rattlesnake,
SSI-Yuba-44347-D5,Rattlesnake,
SSI-Yuba-44347-D6,Rattlesnake,
SSI-Yuba-44347-D7,Rattlesnake,
SSI-Yuba-44347-D8,Rattlesnake,
SSI-Yuba-44347-D9,Rattlesnake,
SSI-Yuba-44347-D10,Goodyears,
SSI-Yuba-44347-D11,Goodyears,
SSI-Yuba-44347-D12,Goodyears,
SSI-Yuba-44347-E1,Goodyears,
SSI-Yuba-44347-E2,Goodyears,
SSI-Yuba-44347-E3,Goodyears,
SSI-Yuba-44347-E4,Goodyears,
SSI-Yuba-44347-E5,Goodyears,
SSI-Yuba-44347-E6,Rock,
SSI-Yuba-44347-E7,Rock,
SSI-Yuba-44347-E8,Rock,
SSI-Yuba-44347-E9,Rock,
SSI-Yuba-44347-E10,Rock,
SSI-Yuba-44347-E11,Rock,
SSI-Yuba-44347-E12,Rock,
SSI-Yuba-44347-F1,Fall,
SSI-Yuba-44347-F2,Fall,
SSI-Yuba-44347-F3,Fall,
SSI-Yuba-44347-F4,Fall,
SSI-Yuba-44347-F5,Fall,
SSI-Yuba-44347-F6,Rush,
SSI-Yuba-44347-F7,Rush,
SSI-Yuba-44347-F8,Rush,
SSI-Yuba-44347-F9,Rush,
SSI-Yuba-44347-F10,Rush,
SSI-Yuba-44347-F11,Rush,
SSI-Yuba-44347-F12,Rush,
SSI-Yuba-44347-G1,Rush,
SSI-Yuba-44347-G2,Haypress,
SSI-Yuba-44347-G3,Haypress,
SSI-Yuba-44347-G4,Haypress,
SSI-Yuba-44347-G5,Haypress,
SSI-Yuba-44347-G6,Haypress,
SSI-Yuba-44347-G7,Haypress,
SSI-Yuba-44347-G8,Haypress,
SSI-Yuba-44347-G9,Haypress,
SSI-Yuba-44347-G10,Haypress,
SSI-Yuba-44347-G11,Haypress,
SSI-Yuba-44347-G12,Haypress,
SSI-Yuba-44347-H1,Haypress,
SSI-Yuba-44347-H2,Haypress,
SSI-Yuba-44347-H3,Haypress,
SSI-Yuba-44347-H4,Haypress,
SSI-Yuba-44347-H5,Haypress,
SSI-Yuba-44347-H6,Haypress,
SSI-Yuba-44347-H7,Haypress,
SSI-Yuba-44347-H8,Haypress,
SSI-Yuba-44347-H9,Haypress,
SSI-Yuba-44347-H10,Haypress,
SSI-Yuba-44347-H11,Haypress,
SSI-Yuba-44348-A1,Goodyears,
SSI-Yuba-44348-A2,Goodyears,
SSI-Yuba-44348-A3,Goodyears,
SSI-Yuba-44348-A4,Goodyears,
SSI-Yuba-44348-A5,Goodyears,
SSI-Yuba-44348-A6,Goodyears,
SSI-Yuba-44348-A7,Goodyears,
SSI-Yuba-44348-A8,Goodyears,
SSI-Yuba-44348-A9,Goodyears,
SSI-Yuba-44348-A10,Goodyears,
SSI-Yuba-44348-A11,Goodyears,
SSI-Yuba-44348-A12,Goodyears,
SSI-Yuba-44348-B1,Goodyears,
SSI-Yuba-44348-B2,Goodyears,
SSI-Yuba-44348-B3,Goodyears,
SSI-Yuba-44348-B4,Goodyears,
SSI-Yuba-44348-B5,Lower Yuba,
SSI-Yuba-44348-B6,Lower Yuba,
SSI-Yuba-44348-B7,Lower Yuba,
SSI-Yuba-44348-B8,Lower Yuba,
SSI-Yuba-44348-B9,Lower Yuba,
SSI-Yuba-44348-B10,Lower Yuba,
SSI-Yuba-44348-B11,Lower Yuba,
SSI-Yuba-44348-B12,Lower Yuba,
SSI-Yuba-44348-C1,Lower Yuba,
SSI-Yuba-44348-C2,Deer 10,
SSI-Yuba-44348-C3,Deer 10,
SSI-Yuba-44348-C4,Deer 10,
SSI-Yuba-44348-C5,Deer 10,
SSI-Yuba-44348-C6,Deer 10,
SSI-Yuba-44348-C7,Deer 10,
SSI-Yuba-44348-C8,Deer 10,
SSI-Yuba-44348-C9,Deer 10,
SSI-Yuba-44348-C10,Deer 10,
SSI-Yuba-44348-C11,Deer 10,
SSI-Yuba-44348-C12,Deer 10,
SSI-Yuba-44348-D1,Deer 10,
SSI-Yuba-44348-D2,Deer 2,
SSI-Yuba-44348-D3,Deer 2,
SSI-Yuba-44348-D4,Deer 2,
SSI-Yuba-44348-D5,Deer 2,
SSI-Yuba-44348-D6,Deer 2,
SSI-Yuba-44348-D7,Deer 2,
SSI-Yuba-44348-D8,Deer 2,
SSI-Yuba-44348-D9,Deer 2,
SSI-Yuba-44348-D10,Deer 2,
SSI-Yuba-44348-D11,Deer 2,
SSI-Yuba-44348-D12,Shady,
SSI-Yuba-44348-E1,Shady,
SSI-Yuba-44348-E2,Shady,
SSI-Yuba-44348-E3,Shady,
SSI-Yuba-44348-E4,Shady,
SSI-Yuba-44348-E5,Shady,
SSI-Yuba-44348-E6,Shady,
SSI-Yuba-44348-E7,Shady,
SSI-Yuba-44348-E8,Shady,
SSI-Yuba-44348-E9,South Fork Yuba-Purdon,
SSI-Yuba-44348-E10,South Fork Yuba-Purdon,
SSI-Yuba-44348-E11,South Fork Yuba-Purdon,
SSI-Yuba-44348-E12,South Fork Yuba-Purdon,
SSI-Yuba-44348-F1,South Fork Yuba-Purdon,
SSI-Yuba-44348-F2,South Fork Yuba-Purdon,
SSI-Yuba-44348-F3,South Fork Yuba-Purdon,
SSI-Yuba-44348-F4,South Fork Yuba-Purdon,
SSI-Yuba-44348-F5,South Fork Yuba-Purdon,
SSI-Yuba-44348-F6,South Fork Yuba-Purdon,
SSI-Yuba-44348-F7,South Fork Yuba-Purdon,
SSI-Yuba-44348-F8,South Fork Yuba-Purdon,
SSI-Yuba-44348-F9,South Fork Yuba-Purdon,
SSI-Yuba-44348-F10,Pauley,
SSI-Yuba-44348-F11,Pauley,
SSI-Yuba-44348-F12,Pauley,
SSI-Yuba-44348-G1,Pauley,
SSI-Yuba-44348-G2,Pauley,
SSI-Yuba-44348-G3,Pauley,
SSI-Yuba-44348-G4,Pauley,
SSI-Yuba-44348-G5,Pauley,
SSI-Yuba-44348-G6,Pauley,
SSI-Yuba-44348-G7,Pauley,
SSI-Yuba-44348-G8,Rock,
SSI-Yuba-44348-G9,Rock,
SSI-Yuba-44348-G10,Rock,
SSI-Yuba-44348-G11,Rock,
SSI-Yuba-44348-G12,Rock,
SSI-Yuba-44348-H1,Rock,
SSI-Yuba-44348-H2,Rock,
SSI-Yuba-44348-H3,Rock,
SSI-Yuba-44348-H4,Rock,
SSI-Yuba-44348-H5,Rock,
SSI-Yuba-44348-H6,Rock,
SSI-Yuba-44348-H7,Rock,
SSI-Yuba-44348-H8,Rock,
SSI-Yuba-44348-H9,Fall,
SSI-Yuba-44348-H10,Fall,
SSI-Yuba-44348-H11,Fall,
SSI-Yuba-44349-A1,Rush,
SSI-Yuba-44349-A2,Rush,
SSI-Yuba-44349-A3,Rush,
